Time,Intensity,Intensity_1
0.011297,4995802,-17088236
0.011308,-391588,-17451112
0.011319,1982510,-8096083
0.01133,-8173884,-1195793
0.011341,-2507799,-1397765
0.011352,-7753481,14820616
0.011363,-1017283,16635502
0.011374,-6020010,11777557
0.011385,-9657007,4766249
0.011396,-4213821,-2870882
0.011407,2348795,-18013220
0.011418,-8613263,-13764825
0.011429,-2463533,-7483833
0.01144,604131,-3913491
0.011451,4079,-1218022
0.011462,5637539,1548854
0.011473,8037381,2117307
0.011484,4563490,11979142
0.011495,11479901,4282034
0.011506,3686592,-4104446
0.011517,-3471797,-5574685
0.011528,-8392025,-10168963
0.011539,-19544442,-5923515
0.01155,-13046226,-4238852
0.011561,-11780764,-1746507
0.011572,2297622,2305833
0.011583,5547634,10760132
0.011594,10695873,6573059
0.011605,14998796,12032748
0.011616,16146403,8702939
0.011627,14713422,6758913
0.011638,637484,-1187259
0.011649,2613698,1180951
0.01166,-7192374,-9173783
0.011671,-8987054,-3007759
0.011682,-14812736,-5838543
0.011693,-17278228,-5251689
0.011704,-2269758,160175
0.011715,-8389211,9891302
0.011726,-612132,10187350
0.011737,16318401,17356496
0.011748,22935674,16623139
0.011759,15257899,7265127
0.01177,13752990,1420540
0.011781,4408299,-15977742
0.011792,-7218743,-14839631
0.011803,-16631317,-12575362
0.011814,-22973008,-9901337
0.011825,-25845970,1666675
0.011836,-19738224,3380933
0.011847,468954,11662041
0.011858,11958682,7062472
0.011869,15547855,14145998
0.01188,26772116,4841005
0.011891,18852672,-760030
0.011902,16677238,-3568843
0.011913,548445,-7460538
0.011924,-15045527,-778384
0.011935,-18491554,-2605442
0.011946,-15437082,5379939
0.011957,-6525126,5147191
0.011968,4374834,5684398
